COLONIA_ORIGINAL,COLONIA_NORMALIZADA
SANTA BARBARA DEL MIRADOR,SANTA BARBARA DEL MIRADOR
SANTA CLARA,SANTA CLARA
SANTA CRUZ,SANTA CRUZ
SANTA ENGRACIA PRIVADA RESIDENCIAL,SANTA ENGRACIA PRIVADA RESIDENCIAL
SANTA FE,SANTA FE
SANTA ISABEL,SANTA ISABEL
SANTA LUCIA,SANTA LUCIA
SANTA MARTHA,SANTA MARTHA
SANTA REGINA,SANTA REGINA
SEDONA RESIDENCIAL,SEDONA RESIDENCIAL
SEMINARIO RDCIAL,SEMINARIO RDCIAL
SIENA RESIDENCIAL,SIENA RESIDENCIAL
SIERRA BLANCA,SIERRA BLANCA
SIERRA BONITA,SIERRA BONITA
SIERRA CLARA,SIERRA CLARA
SIERRA VISTA,SIERRA VISTA
SIN NOMBRE 06,SIN NOMBRE 62
SIN NOMBRE 50,SIN NOMBRE 50
SIN NOMBRE 62,SIN NOMBRE 62
SOL AGUILAR (EL TRIUNFO),SOL AGUILAR (EL TRIUNFO)
SOLEIL RESIDENCIAL,SOLEIL RESIDENCIAL
SOLIDARIDAD,SOLIDARIDAD
SONACER,SONACER
STANZA FLORENZA RESIDENCIAL,STANZA FLORENZA RESIDENCIAL
STANZA SOLARE,STANZA SOLARE
STAUS,STAUS
TERRA BLANCA,TERRA BLANCA
TERRANOVA,TERRANOVA
TERRAZAS DEL MIRADOR,TERRAZAS DEL MIRADOR
TIERRA COLORADA,TIERRA COLORADA
TIERRA NUEVA,TIERRA NUEVA
TIERRA Y LIBERTAD,TIERRA Y LIBERTAD
TIRO AL BLANCO,TIRO AL BLANCO
TIROCAPES,TIROCAPES
TOPACIO RESIDENCIAL,TOPACIO RESIDENCIAL
TORRALBA RESIDENCIAL,TORRALBA RESIDENCIAL
TORRE DE PIEDRA,TORRE DE PIEDRA
TORRE DE PLATA,TORRE DE PLATA
TOSALI,TOSALI
TUBAC,TUBAC
TULIPANES RESIDENCIAL,TULIPANES RESIDENCIAL
TUMACACORI,TUMACACORI
UNIDAD HABITACIONAL ZONA MILITAR,UNIDAD HABITACIONAL ZONA MILITAR
UNION DE COLONOS,UNION DE COLONOS
UNION DE LADRILLEROS,UNION DE LADRILLEROS
UNIVERSIDAD,UNIVERSIDAD
URBI ALAMEDA LOS ENCINOS,URBI ALAMEDA LOS ENCINOS
URBI ALAMEDA LOS ENCINOS II,URBI ALAMEDA LOS ENCINOS
URBI ALAMEDA LOS FRESNOS RDCIAL,URBI ALAMEDA LOS FRESNOS RDCIAL
URBI VILLA DEL CEDRO,URBI VILLA DEL CEDRO
URBI VILLA DEL REY,URBI VILLA DEL REY
VALLADOLID,VALLADOLID
VALLE BONITO,VALLE BONITO
VALLE DE AGUALURCA,VALLE DE AGUALURCA
VALLE DE ARANDAS,VALLE DE ARANDAS
VALLE DE LOS ALMENDROS,VALLE DE LOS ALMENDROS
VALLE DE MARQUEZ,VALLE DE MARQUEZ
VALLE DEL PORTAL,VALLE DEL PORTAL
VALLE DEL SOL,VALLE DEL SOL
VALLE DORADO,VALLE DORADO
VALLE ESCONDIDO,VALLE ESCONDIDO
VALLE GRANDE,VALLE GRANDE
VALLE HERMOSO,VALLE HERMOSO
VALLE VERDE,VALLE VERDE
VELAS,VELAS
VENTURA CLUB RESIDENCIAL,VENTURA CLUB RESIDENCIAL
VERDE CERRADA SAN ROSENDO,VERDE CERRADA SAN ROSENDO
VERONA RESIDENCIAL,VERONA RESIDENCIAL
VERSALLES,VERSALLES
VILLA CALIFORNIA,VILLA CALIFORNIA
VILLA COLONIAL,VILLA COLONIAL
VILLA DE PARRAS,VILLA DE PARRAS
VILLA DE SERIS,VILLA DE SERIS
VILLA DEL PITIC,VILLA DEL PITIC
VILLA DORADA,VILLA DORADA
VILLA ESMERALDA,VILLA ESMERALDA
VILLA FONTANA,VILLA FONTANA
VILLA GUADALUPE,VILLA GUADALUPE
VILLA HERMOSA,VILLA HERMOSA
VILLA LOURDES,VILLA LOURDES
VILLA MERCEDES,VILLA MERCEDES
VILLA SATELITE,VILLA SATELITE
VILLA SAUCES RESIDENCIAL,VILLA SAUCES RESIDENCIAL
VILLA SOL,VILLA SOL
VILLA SONORA,VILLA SONORA
VILLA SUREÑA,VILLA SUREÑA
VILLA TOSCANA,VILLA TOSCANA
VILLA VENTURA,VILLA VENTURA
VILLA VERDE CERRADA SAN ADRIAN,VILLA VERDE CERRADA SAN ADRIAN
VILLA VERDE CERRADA SAN EFRAIN,VILLA VERDE CERRADA SAN EFRAIN
VILLA VERDE CERRADA SAN FEDERICO,VILLA VERDE CERRADA SAN FEDERICO
VILLA VERDE CERRADA SAN JOEL,VILLA VERDE CERRADA SAN JOEL
VILLA VERDE CERRADA SAN JUDAS,VILLA VERDE CERRADA SAN JUDAS
VILLA VERDE CERRADA SAN LUIS,VILLA VERDE CERRADA SAN LUIS
VILLA VERDE CERRADA SAN NOE,VILLA VERDE CERRADA SAN NOE
VILLA VERDE CERRADA SAN PEDRO,VILLA VERDE CERRADA SAN PEDRO
VILLA VERDE CERRADA SAN RENE,VILLA VERDE CERRADA SAN RENE
VILLA VERDE CERRADA SAN ROGELIO,VILLA VERDE CERRADA SAN ROGELIO
VILLA VERDE CERRADA SAN VICENTE,VILLA VERDE CERRADA SAN VICENTE
VILLA VERDE CERRADA SANTO NIÑO,VILLA VERDE CERRADA SANTO NIÑO
VILLA VERDE CERRADA SANTO TOMAS,VILLA VERDE CERRADA SANTO TOMAS
VILLAS DEL CORTEZ,VILLAS DEL CORTEZ
VILLAS DEL CORTIJO,VILLAS DEL CORTIJO
VILLAS DEL MEDITERRANEO,VILLAS DEL MEDITERRANEO
VILLAS DEL PALMAR,VILLAS DEL PALMAR
VILLAS DEL PRADO,VILLAS DEL PRADO
VILLAS DEL REAL,VILLAS DEL REAL
VILLAS DEL SUR,VILLAS DEL SUR
VILLAS MONTECARLO,VILLAS MONTECARLO
VILLAS RESIDENCIAL,VILLAS RESIDENCIAL
VIRREYES,VIRREYES
VISTA BELLA,VISTA BELLA
VISTA DEL LAGO,VISTA DEL LAGO
VISTA REAL,VISTA REAL
VIÑEDOS,VIÑEDOS
Y GRIEGA,Y GRIEGA
ZONA INDUSTRIAL,ZONA INDUSTRIAL
